caseid,task,user,end_timestamp
1,A_SUBMITTED,112,2011-10-01T06:08:58.256000
1,A_PARTLYSUBMITTED,112,2011-10-01T06:09:02.195000
1,A_PREACCEPTED,112,2011-10-01T06:09:56.648000
1,A_ACCEPTED,10862,2011-10-01T12:33:54.614000
1,A_FINALIZED,10862,2011-10-01T12:35:46.016000
1,A_APPROVED,10809,2011-10-10T12:17:26.307000
1,A_REGISTERED,10809,2011-10-10T12:17:26.307000
1,A_ACTIVATED,10809,2011-10-10T12:17:26.307000
2,A_SUBMITTED,112,2011-10-01T06:10:30.287000
2,A_PARTLYSUBMITTED,112,2011-10-01T06:10:30.591000
2,A_PREACCEPTED,112,2011-10-01T06:11:13.026000
2,A_ACCEPTED,11201,2011-10-03T11:34:25.421000
2,A_FINALIZED,11201,2011-10-03T11:40:14.632000
2,A_APPROVED,10609,2011-11-04T15:04:52.612000
2,A_REGISTERED,10609,2011-11-04T15:04:52.612000
2,A_ACTIVATED,10609,2011-11-04T15:04:52.612000
4,A_SUBMITTED,112,2011-10-01T06:15:39.894000
4,A_PARTLYSUBMITTED,112,2011-10-01T06:15:40.102000
4,A_DECLINED,112,2011-10-01T06:16:21.037000
5,A_SUBMITTED,112,2011-10-01T07:45:25.806000
5,A_PARTLYSUBMITTED,112,2011-10-01T07:45:25.981000
5,A_PREACCEPTED,112,2011-10-01T07:46:18.211000
5,A_CANCELLED,10912,2011-10-01T11:02:11.068000
6,A_SUBMITTED,112,2011-10-01T07:45:37.274000
6,A_PARTLYSUBMITTED,112,2011-10-01T07:45:37.363000
6,A_PREACCEPTED,10912,2011-10-01T08:16:48.956000
6,A_DECLINED,11111,2011-10-01T12:59:58.557000
7,A_SUBMITTED,112,2011-10-01T07:57:42.994000
7,A_PARTLYSUBMITTED,112,2011-10-01T07:57:43.182000
7,A_PREACCEPTED,112,2011-10-01T07:58:27.038000
7,A_CANCELLED,112,2011-11-01T08:15:08.387000
9,A_SUBMITTED,112,2011-10-01T07:59:10.501000
9,A_PARTLYSUBMITTED,112,2011-10-01T07:59:10.789000
9,A_PREACCEPTED,112,2011-10-01T07:59:42.704000
9,A_ACCEPTED,10912,2011-10-01T10:24:32.787000
9,A_FINALIZED,10912,2011-10-01T10:30:20.556000
9,A_DECLINED,10138,2011-10-13T09:05:24.620000
10,A_SUBMITTED,112,2011-10-01T08:37:39.363000
10,A_PARTLYSUBMITTED,112,2011-10-01T08:37:39.657000
10,A_PREACCEPTED,112,2011-10-01T08:38:20.967000
10,A_ACCEPTED,10862,2011-10-01T08:42:21.977000
10,A_FINALIZED,10862,2011-10-01T08:44:40.725000
10,A_APPROVED,10972,2011-10-27T07:17:53.327000
10,A_REGISTERED,10972,2011-10-27T07:17:53.328000
10,A_ACTIVATED,10972,2011-10-27T07:17:53.328000
11,A_SUBMITTED,112,2011-10-01T09:07:34.279000
11,A_PARTLYSUBMITTED,112,2011-10-01T09:07:34.928000
11,A_PREACCEPTED,112,2011-10-01T09:08:17.093000
11,A_ACCEPTED,10939,2011-10-01T09:18:36.318000
11,A_FINALIZED,10939,2011-10-01T09:20:47.605000
11,A_DECLINED,11009,2011-10-10T14:28:25.531000
12,A_SUBMITTED,112,2011-10-01T09:52:14.305000
12,A_PARTLYSUBMITTED,112,2011-10-01T09:52:14.576000
12,A_PREACCEPTED,10939,2011-10-01T10:20:54.061000
12,A_DECLINED,11201,2011-10-03T13:48:17.469000
13,A_SUBMITTED,112,2011-10-01T10:08:46.663000
13,A_PARTLYSUBMITTED,112,2011-10-01T10:08:46.803000
13,A_DECLINED,112,2011-10-01T10:09:30.362000
15,A_SUBMITTED,112,2011-10-01T10:39:34.037000
15,A_PARTLYSUBMITTED,112,2011-10-01T10:39:34.130000
15,A_DECLINED,10939,2011-10-01T12:54:53.037000
16,A_SUBMITTED,112,2011-10-01T11:01:58.813000
16,A_PARTLYSUBMITTED,112,2011-10-01T11:01:59.052000
16,A_PREACCEPTED,112,2011-10-01T11:02:44.257000
16,A_ACCEPTED,11203,2011-10-01T14:00:15.975000
16,A_FINALIZED,11203,2011-10-01T14:05:26.312000
16,A_APPROVED,10809,2011-10-18T10:01:28.757000
16,A_REGISTERED,10809,2011-10-18T10:01:28.758000
16,A_ACTIVATED,10809,2011-10-18T10:01:28.758000
18,A_SUBMITTED,112,2011-10-01T11:44:12.627000
18,A_PARTLYSUBMITTED,112,2011-10-01T11:44:12.796000
18,A_PREACCEPTED,10939,2011-10-01T12:56:21.300000
18,A_DECLINED,11120,2011-10-14T13:52:04.486000
20,A_SUBMITTED,112,2011-10-01T12:09:16.088000
20,A_PARTLYSUBMITTED,112,2011-10-01T12:09:16.307000
20,A_PREACCEPTED,10939,2011-10-01T13:24:16.783000
20,A_ACCEPTED,11119,2011-10-01T14:33:21.976000
20,A_FINALIZED,11119,2011-10-01T14:36:44.831000
20,A_DECLINED,11001,2011-10-03T14:44:19.335000
21,A_SUBMITTED,112,2011-10-01T12:14:39.442000
21,A_PARTLYSUBMITTED,112,2011-10-01T12:14:39.698000
21,A_PREACCEPTED,112,2011-10-01T12:15:21.127000
21,A_ACCEPTED,11111,2011-10-01T14:43:08.537000
21,A_FINALIZED,11111,2011-10-01T14:49:59.191000
21,A_REGISTERED,10138,2011-10-11T08:39:30.984000
21,A_ACTIVATED,10138,2011-10-11T08:39:30.984000
21,A_APPROVED,10138,2011-10-11T08:39:30.984000
22,A_SUBMITTED,112,2011-10-01T12:50:09.763000
22,A_PARTLYSUBMITTED,112,2011-10-01T12:50:11.084000
22,A_PREACCEPTED,112,2011-10-01T12:50:51.260000
22,A_DECLINED,10809,2011-10-14T12:28:39.170000
23,A_SUBMITTED,112,2011-10-01T13:02:58.635000
23,A_PARTLYSUBMITTED,112,2011-10-01T13:02:58.837000
23,A_DECLINED,112,2011-10-01T13:03:36.223000
