CaseID,ActivityID,CompleteTimestamp
1,9,2011-10-01 06:08:58
1,6,2011-10-01 06:09:02
1,7,2011-10-01 06:09:56
1,19,2011-10-01 09:43:13
1,0,2011-10-01 12:33:54
1,5,2011-10-01 12:35:46
1,14,2011-10-01 12:35:46
1,12,2011-10-01 12:35:47
1,15,2011-10-01 12:35:47
1,19,2011-10-01 12:35:48
1,21,2011-10-01 12:36:25
1,14,2011-10-03 14:56:17
1,11,2011-10-03 14:56:17
1,12,2011-10-03 14:56:19
1,15,2011-10-03 14:56:19
1,21,2011-10-03 14:56:21
1,21,2011-10-03 14:57:16
1,16,2011-10-10 08:14:43
1,21,2011-10-10 08:14:45
1,22,2011-10-10 09:30:54
1,22,2011-10-10 12:14:13
1,10,2011-10-10 12:17:26
1,2,2011-10-10 12:17:26
1,8,2011-10-10 12:17:26
1,1,2011-10-10 12:17:26
1,22,2011-10-10 12:17:34
2,9,2011-10-01 06:10:30
2,6,2011-10-01 06:10:30
2,7,2011-10-01 06:11:13
2,19,2011-10-01 09:35:59
2,19,2011-10-03 09:21:22
2,19,2011-10-03 11:32:43
2,0,2011-10-03 11:34:25
2,5,2011-10-03 11:40:14
2,14,2011-10-03 11:40:14
2,12,2011-10-03 11:40:15
2,15,2011-10-03 11:40:15
2,19,2011-10-03 11:40:17
2,14,2011-10-03 11:44:17
2,11,2011-10-03 11:44:17
2,12,2011-10-03 11:44:19
2,15,2011-10-03 11:44:19
2,21,2011-10-03 11:44:21
2,21,2011-10-10 14:47:18
2,21,2011-10-10 17:34:36
2,21,2011-10-14 16:16:42
2,14,2011-10-17 17:43:53
2,11,2011-10-17 17:43:53
2,12,2011-10-17 17:43:55
2,15,2011-10-17 17:43:55
2,21,2011-10-17 17:43:57
2,21,2011-10-25 08:50:48
2,21,2011-10-26 16:50:22
2,21,2011-10-29 10:41:29
2,21,2011-11-01 13:55:35
2,21,2011-11-01 16:21:02
2,16,2011-11-02 08:15:16
2,21,2011-11-02 08:15:18
2,10,2011-11-04 15:04:52
2,2,2011-11-04 15:04:52
2,8,2011-11-04 15:04:52
2,1,2011-11-04 15:04:52
2,22,2011-11-04 15:05:01
4,9,2011-10-01 06:15:39
4,6,2011-10-01 06:15:40
4,4,2011-10-01 06:16:21
5,9,2011-10-01 07:45:25
5,6,2011-10-01 07:45:25
5,7,2011-10-01 07:46:18
5,19,2011-10-01 09:40:24
5,3,2011-10-01 11:02:11
5,19,2011-10-01 11:02:12
6,9,2011-10-01 07:45:37
6,6,2011-10-01 07:45:37
6,7,2011-10-01 08:16:48
6,17,2011-10-01 08:16:49
6,19,2011-10-01 09:50:14
6,19,2011-10-01 09:53:55
6,4,2011-10-01 12:59:58
6,19,2011-10-01 13:00:02
7,9,2011-10-01 07:57:42
7,6,2011-10-01 07:57:43
7,7,2011-10-01 07:58:27
7,19,2011-10-01 08:27:07
7,19,2011-10-01 09:43:02
7,19,2011-10-10 15:43:13
7,19,2011-11-01 08:15:08
7,3,2011-11-01 08:15:08
9,9,2011-10-01 07:59:10
9,6,2011-10-01 07:59:10
9,7,2011-10-01 07:59:42
9,19,2011-10-01 09:46:06
9,0,2011-10-01 10:24:32
9,14,2011-10-01 10:30:20
9,5,2011-10-01 10:30:20
9,12,2011-10-01 10:30:21
9,15,2011-10-01 10:30:21
9,19,2011-10-01 10:30:24
9,21,2011-10-08 14:38:17
9,16,2011-10-10 10:54:03
