caseid,task,user,end_timestamp
1,W_Completeren aanvraag,UNK,2011-10-01T09:43:13.178000
1,W_Completeren aanvraag,UNK,2011-10-01T12:35:48.791000
1,W_Nabellen offertes,UNK,2011-10-01T12:36:25.794000
1,W_Nabellen offertes,UNK,2011-10-03T14:56:21.195000
1,W_Nabellen offertes,UNK,2011-10-03T14:57:16.563000
1,W_Nabellen offertes,11049.0,2011-10-10T08:14:45.514000
1,W_Valideren aanvraag,10809.0,2011-10-10T09:30:54.893000
1,W_Valideren aanvraag,10809.0,2011-10-10T12:14:13.394000
1,W_Valideren aanvraag,10809.0,2011-10-10T12:17:34.633000
2,W_Completeren aanvraag,10912.0,2011-10-01T09:35:59.637000
2,W_Completeren aanvraag,UNK,2011-10-03T09:21:22.417000
2,W_Completeren aanvraag,11201.0,2011-10-03T11:32:43.313000
2,W_Completeren aanvraag,11201.0,2011-10-03T11:40:17.062000
2,W_Nabellen offertes,11201.0,2011-10-03T11:44:21.261000
2,W_Nabellen offertes,UNK,2011-10-10T14:47:18.803000
2,W_Nabellen offertes,11119.0,2011-10-10T17:34:36.027000
2,W_Nabellen offertes,10912.0,2011-10-14T16:16:42.245000
2,W_Nabellen offertes,10861.0,2011-10-17T17:43:57.774000
2,W_Nabellen offertes,UNK,2011-10-25T08:50:48.186000
2,W_Nabellen offertes,11203.0,2011-10-26T16:50:22.004000
2,W_Nabellen offertes,11181.0,2011-10-29T10:41:29.569000
2,W_Nabellen offertes,11189.0,2011-11-01T13:55:35.020000
2,W_Nabellen offertes,11119.0,2011-11-01T16:21:02.356000
2,W_Nabellen offertes,11049.0,2011-11-02T08:15:18.683000
2,W_Valideren aanvraag,10609.0,2011-11-04T15:05:01.532000
4,W_Afhandelen leads,10912.0,2011-10-01T08:16:49.843000
4,W_Completeren aanvraag,10912.0,2011-10-01T09:50:14.483000
4,W_Completeren aanvraag,10912.0,2011-10-01T09:53:55.769000
4,W_Completeren aanvraag,UNK,2011-10-01T13:00:02.537000
5,W_Completeren aanvraag,10912.0,2011-10-01T08:27:07.853000
5,W_Completeren aanvraag,10912.0,2011-10-01T09:43:02.623000
5,W_Completeren aanvraag,10982.0,2011-10-10T15:43:13.290000
5,W_Completeren aanvraag,10982.0,2011-11-01T08:15:08.331000
6,W_Afhandelen leads,10912.0,2011-10-01T08:10:25.759000
6,W_Completeren aanvraag,11019.0,2011-10-01T11:03:35.216000
6,W_Completeren aanvraag,11180.0,2011-10-03T09:17:29.105000
6,W_Completeren aanvraag,11180.0,2011-10-03T12:42:55.584000
7,W_Completeren aanvraag,UNK,2011-10-01T09:46:06.342000
