caseid,task,user,end_timestamp
1,O_SELECTED,10862,2011-10-01T12:35:46.016000
1,O_CREATED,10862,2011-10-01T12:35:47.488000
1,O_SENT,10862,2011-10-01T12:35:47.583000
1,O_SELECTED,11120,2011-10-03T14:56:17.731000
1,O_CANCELLED,11120,2011-10-03T14:56:17.731000
1,O_CREATED,11120,2011-10-03T14:56:19.613000
1,O_SENT,11120,2011-10-03T14:56:19.645000
1,O_SENT_BACK,11049,2011-10-10T08:14:43.775000
1,O_ACCEPTED,10809,2011-10-10T12:17:26.306000
2,O_SELECTED,11201,2011-10-03T11:40:14.632000
2,O_CREATED,11201,2011-10-03T11:40:15.605000
2,O_SENT,11201,2011-10-03T11:40:15.651000
2,O_SELECTED,11201,2011-10-03T11:44:17.619000
2,O_CANCELLED,11201,2011-10-03T11:44:17.619000
2,O_CREATED,11201,2011-10-03T11:44:19.671000
2,O_SENT,11201,2011-10-03T11:44:19.719000
2,O_SELECTED,10861,2011-10-17T17:43:53.587000
2,O_CANCELLED,10861,2011-10-17T17:43:53.587000
2,O_CREATED,10861,2011-10-17T17:43:55.219000
2,O_SENT,10861,2011-10-17T17:43:55.387000
2,O_SENT_BACK,11049,2011-11-02T08:15:16.203000
2,O_ACCEPTED,10609,2011-11-04T15:04:52.611000
3,O_SELECTED,10912,2011-10-01T10:30:20.556000
3,O_CREATED,10912,2011-10-01T10:30:21.780000
3,O_SENT,10912,2011-10-01T10:30:21.806000
3,O_SENT_BACK,10899,2011-10-10T10:54:03.401000
3,O_DECLINED,10138,2011-10-13T09:05:24.620000
4,O_SELECTED,10862,2011-10-01T08:44:40.725000
4,O_CREATED,10862,2011-10-01T08:44:42.707000
4,O_SENT,10862,2011-10-01T08:44:42.734000
4,O_SELECTED,10862,2011-10-01T08:46:52.915000
4,O_CANCELLED,10862,2011-10-01T08:46:52.915000
4,O_CREATED,10862,2011-10-01T08:46:54.210000
4,O_SENT,10862,2011-10-01T08:46:54.233000
4,O_SENT_BACK,11049,2011-10-10T08:55:04.984000
4,O_ACCEPTED,10972,2011-10-27T07:17:53.327000
5,O_SELECTED,10939,2011-10-01T09:20:47.605000
5,O_CREATED,10939,2011-10-01T09:20:49.026000
5,O_SENT,10939,2011-10-01T09:20:49.058000
5,O_SENT_BACK,11029,2011-10-06T07:49:46.110000
5,O_DECLINED,11009,2011-10-10T14:28:25.531000
7,O_SELECTED,11203,2011-10-01T14:05:26.312000
7,O_CREATED,11203,2011-10-01T14:05:27.699000
7,O_SENT,11203,2011-10-01T14:05:27.739000
7,O_SELECTED,10982,2011-10-04T10:59:20.034000
7,O_CANCELLED,10982,2011-10-04T10:59:20.034000
7,O_CREATED,10982,2011-10-04T10:59:21.264000
7,O_SENT,10982,2011-10-04T10:59:21.304000
7,O_SENT_BACK,10899,2011-10-10T11:33:58.634000
7,O_SELECTED,11169,2011-10-13T09:36:52.601000
7,O_CANCELLED,11169,2011-10-13T09:36:52.601000
7,O_CREATED,11169,2011-10-13T09:36:53.652000
7,O_SENT,11169,2011-10-13T09:36:53.686000
7,O_SENT_BACK,11029,2011-10-18T08:20:36.413000
7,O_ACCEPTED,10809,2011-10-18T10:01:28.757000
8,O_SELECTED,11000,2011-10-01T13:56:39.615000
8,O_CREATED,11000,2011-10-01T13:56:40.771000
8,O_SENT,11000,2011-10-01T13:56:40.801000
8,O_SENT_BACK,11029,2011-10-11T08:19:12.541000
8,O_ACCEPTED,10629,2011-10-14T14:22:47.530000
9,O_SELECTED,11111,2011-10-01T13:58:41.855000
9,O_CREATED,11111,2011-10-01T13:58:44.837000
9,O_SENT,11111,2011-10-01T13:58:44.859000
9,O_CANCELLED,11000,2011-10-08T10:45:57.789000
10,O_SELECTED,11119,2011-10-01T14:36:44.831000
10,O_CREATED,11119,2011-10-01T14:37:32.632000
10,O_SENT,11119,2011-10-01T14:37:32.669000
10,O_CANCELLED,11119,2011-10-01T14:42:16.406000
10,O_SELECTED,11119,2011-10-01T14:42:16.406000
10,O_CREATED,11119,2011-10-01T14:42:17.394000
10,O_SENT,11119,2011-10-01T14:42:17.419000
10,O_DECLINED,11001,2011-10-03T14:44:19.335000
11,O_SELECTED,11111,2011-10-01T14:49:59.191000
11,O_CREATED,11111,2011-10-01T14:50:00.969000
11,O_SENT,11111,2011-10-01T14:50:01.004000
11,O_SENT_BACK,10899,2011-10-07T10:40:18.319000
11,O_ACCEPTED,10138,2011-10-11T08:39:30.983000
12,O_SELECTED,11019,2011-10-01T14:01:43.413000
12,O_CREATED,11019,2011-10-01T14:01:44.340000
12,O_SENT,11019,2011-10-01T14:01:44.367000
12,O_SENT_BACK,11049,2011-10-11T09:01:37.837000
12,O_ACCEPTED,10972,2011-10-14T13:41:03.384000
13,O_SELECTED,11122,2011-10-04T15:37:27.175000
13,O_CREATED,11122,2011-10-04T15:37:28.370000
13,O_SENT,11122,2011-10-04T15:37:28.412000
13,O_SENT_BACK,11049,2011-10-17T09:29:14.489000
13,O_ACCEPTED,10609,2011-11-15T11:50:28.812000
15,O_SELECTED,11120,2011-10-03T07:26:10.575000
15,O_CREATED,11120,2011-10-03T07:26:11.521000
15,O_SENT,11120,2011-10-03T07:26:11.544000
15,O_SENT_BACK,10789,2011-10-07T10:37:07.523000
15,O_ACCEPTED,10609,2011-10-10T12:22:35.594000
16,O_SELECTED,11120,2011-10-03T12:53:19.306000
16,O_CREATED,11120,2011-10-03T12:53:20.371000
16,O_SENT,11120,2011-10-03T12:53:20.393000
16,O_SENT_BACK,11029,2011-10-14T08:08:48.626000
16,O_ACCEPTED,10609,2011-10-18T09:25:03.798000
17,O_SELECTED,11001,2011-10-03T09:15:53.537000
17,O_CREATED,11001,2011-10-03T09:16:42.008000
17,O_SENT,11001,2011-10-03T09:16:42.037000
17,O_CANCELLED,11201,2011-10-10T15:23:53.999000
18,O_SELECTED,11202,2011-10-03T07:53:24.490000
18,O_CREATED,11202,2011-10-03T07:53:25.300000
18,O_SENT,11202,2011-10-03T07:53:25.329000
18,O_CANCELLED,112,2011-11-03T08:15:16.500000
19,O_SELECTED,11180,2011-10-03T09:47:47.198000
19,O_CREATED,11180,2011-10-03T09:47:48.320000
19,O_SENT,11180,2011-10-03T09:47:48.346000
19,O_CANCELLED,112,2011-11-03T08:15:25.320000
20,O_SELECTED,11180,2011-10-03T07:52:38.282000
20,O_CREATED,11180,2011-10-03T07:52:39.285000
20,O_SENT,11180,2011-10-03T07:52:39.309000
20,O_CANCELLED,11180,2011-10-03T07:53:26.256000
20,O_SELECTED,11180,2011-10-03T07:53:26.256000
20,O_CREATED,11180,2011-10-03T07:53:27.636000
20,O_SENT,11180,2011-10-03T07:53:27.660000
20,O_SENT_BACK,10899,2011-10-07T11:23:32.793000
20,O_DECLINED,10609,2011-10-11T07:15:45.243000
21,O_SELECTED,11120,2011-10-03T07:57:31.958000
21,O_CREATED,11120,2011-10-03T07:57:33.333000
21,O_SENT,11120,2011-10-03T07:57:33.385000
21,O_SENT_BACK,10899,2011-10-10T12:01:44.751000
21,O_DECLINED,10138,2011-10-13T07:36:21.589000
22,O_SELECTED,11180,2011-10-03T08:35:59.279000
22,O_CREATED,11180,2011-10-03T08:36:00.341000
22,O_SENT,11180,2011-10-03T08:36:00.372000
22,O_CANCELLED,10861,2011-10-18T12:12:43.701000
23,O_SELECTED,11201,2011-10-03T11:19:45.999000
23,O_CREATED,11201,2011-10-03T11:19:47.043000
23,O_SENT,11201,2011-10-03T11:19:47.073000
23,O_SENT_BACK,11049,2011-10-10T08:17:48.189000
23,O_ACCEPTED,10629,2011-10-11T12:57:01.617000
24,O_SELECTED,11202,2011-10-03T08:22:05.122000
24,O_CREATED,11202,2011-10-03T08:22:06.712000
24,O_SENT,11202,2011-10-03T08:22:06.733000
24,O_SENT_BACK,10899,2011-10-10T11:52:46.532000
24,O_DECLINED,10138,2011-10-12T08:52:11.073000
25,O_SELECTED,11120,2011-10-03T10:37:05.899000
25,O_CREATED,11120,2011-10-03T10:37:07.181000
25,O_SENT,11120,2011-10-03T10:37:07.220000
25,O_CANCELLED,11120,2011-10-10T14:43:52.976000
26,O_SELECTED,11180,2011-10-03T08:21:41.574000
26,O_CREATED,11180,2011-10-03T08:21:42.754000
26,O_SENT,11180,2011-10-03T08:21:42.783000
26,O_SENT_BACK,11029,2011-10-20T07:11:49.533000
26,O_DECLINED,10609,2011-10-26T06:07:33.910000
27,O_SELECTED,10909,2011-10-04T17:40:46.526000
27,O_CREATED,10909,2011-10-04T17:40:47.741000
27,O_SENT,10909,2011-10-04T17:40:47.825000
27,O_SENT_BACK,11029,2011-10-11T08:01:11.435000
27,O_DECLINED,10138,2011-10-14T08:05:53.510000
28,O_SELECTED,11201,2011-10-03T12:00:45.550000
28,O_CREATED,11201,2011-10-03T12:00:46.779000
28,O_SENT,11201,2011-10-03T12:00:46.805000
28,O_SENT_BACK,11029,2011-10-24T09:28:26.304000
28,O_CANCELLED,11169,2011-10-28T14:27:23.940000
28,O_SELECTED,11169,2011-10-28T14:27:23.940000
28,O_CREATED,11169,2011-10-28T14:27:25.408000
28,O_SENT,11169,2011-10-28T14:27:25.432000
28,O_SENT_BACK,10789,2011-11-04T10:46:11.099000
28,O_ACCEPTED,10138,2011-11-04T12:09:38.785000
29,O_SELECTED,10889,2011-10-03T14:51:47.497000
29,O_CREATED,10889,2011-10-03T14:51:48.963000
29,O_SENT,10889,2011-10-03T14:51:48.989000
29,O_CANCELLED,11201,2011-10-13T18:00:46.495000
33,O_SELECTED,10982,2011-10-03T18:05:38.014000
33,O_CREATED,10982,2011-10-03T18:06:25.844000
33,O_SENT,10982,2011-10-03T18:06:25.883000
33,O_CANCELLED,112,2011-11-03T08:15:32.067000
34,O_SELECTED,11180,2011-10-03T08:53:05.133000
34,O_CREATED,11180,2011-10-03T08:53:06.672000
34,O_SENT,11180,2011-10-03T08:53:06.697000
34,O_CANCELLED,112,2011-11-03T08:15:22.602000
35,O_SELECTED,11169,2011-10-04T10:24:38.968000
35,O_CREATED,11169,2011-10-04T10:25:26.370000
35,O_SENT,11169,2011-10-04T10:25:26.418000
35,O_CANCELLED,11121,2011-10-24T07:08:04.654000
35,O_SELECTED,11121,2011-10-24T07:08:04.654000
35,O_CREATED,11121,2011-10-24T07:08:08.444000
35,O_SENT,11121,2011-10-24T07:08:08.480000
35,O_SENT_BACK,11049,2011-10-27T08:53:52.643000
35,O_DECLINED,10629,2011-10-31T13:33:55.453000
36,O_SELECTED,10971,2011-10-04T07:20:00.182000
36,O_CREATED,10971,2011-10-04T07:20:50.947000
36,O_SENT,10971,2011-10-04T07:20:50.980000
36,O_SENT_BACK,11029,2011-10-17T08:19:48.097000
36,O_ACCEPTED,10972,2011-11-29T14:05:21.679000
37,O_SELECTED,10913,2011-10-03T09:35:26.248000
37,O_CREATED,10913,2011-10-03T09:35:28.217000
37,O_SENT,10913,2011-10-03T09:35:28.247000
37,O_SENT_BACK,11049,2011-10-10T08:41:34.098000
37,O_ACCEPTED,10972,2011-10-11T12:01:47.102000
38,O_SELECTED,11180,2011-10-03T10:36:32.208000
38,O_CREATED,11180,2011-10-03T10:36:33.645000
38,O_SENT,11180,2011-10-03T10:36:33.674000
38,O_CANCELLED,11119,2011-10-10T15:27:02.781000
39,O_SELECTED,10971,2011-10-03T07:54:36.342000
39,O_CREATED,10971,2011-10-03T07:54:37.553000
39,O_SENT,10971,2011-10-03T07:54:37.585000
39,O_SENT_BACK,10899,2011-10-10T10:52:18.078000
39,O_DECLINED,10609,2011-10-13T08:26:07.105000
40,O_SELECTED,10971,2011-10-03T08:33:55.554000
40,O_CREATED,10971,2011-10-03T08:33:57.668000
40,O_SENT,10971,2011-10-03T08:33:57.696000
40,O_CANCELLED,11120,2011-10-10T14:32:17.595000
41,O_SELECTED,11200,2011-10-04T10:44:41.157000
41,O_CREATED,11200,2011-10-04T10:44:41.964000
41,O_SENT,11200,2011-10-04T10:44:42.019000
41,O_CANCELLED,11180,2011-10-19T08:30:56.029000
42,O_SELECTED,10971,2011-10-03T08:47:16.213000
42,O_CREATED,10971,2011-10-03T08:47:17.739000
42,O_SENT,10971,2011-10-03T08:47:17.775000
42,O_CANCELLED,112,2011-11-03T08:15:19.801000
43,O_SELECTED,11201,2011-10-03T13:31:53.585000
43,O_CREATED,11201,2011-10-03T13:31:55.551000
43,O_SENT,11201,2011-10-03T13:31:55.584000
43,O_SENT_BACK,10899,2011-10-10T11:25:01.757000
43,O_DECLINED,10609,2011-10-13T07:35:26.463000
45,O_SELECTED,11180,2011-10-03T12:24:15.999000
45,O_CREATED,11180,2011-10-03T12:25:04.174000
45,O_SENT,11180,2011-10-03T12:25:04.224000
45,O_CANCELLED,10912,2011-10-17T09:35:04.381000
46,O_SELECTED,11200,2011-10-06T18:13:47.903000
46,O_CREATED,11200,2011-10-06T18:13:48.917000
46,O_SENT,11200,2011-10-06T18:13:48.945000
46,O_CANCELLED,11201,2011-11-04T16:47:03.107000
47,O_SELECTED,11119,2011-10-03T15:43:36.175000
47,O_CREATED,11119,2011-10-03T15:43:38.414000
47,O_SENT,11119,2011-10-03T15:43:38.441000
47,O_SENT_BACK,11049,2011-10-13T09:34:19.656000
47,O_SELECTED,11009,2011-10-17T09:25:56.625000
47,O_CANCELLED,11009,2011-10-17T09:25:56.625000
47,O_CREATED,11009,2011-10-17T09:25:57.459000
47,O_SENT,11009,2011-10-17T09:25:57.501000
47,O_ACCEPTED,10809,2011-10-18T09:06:51.085000
49,O_SELECTED,11202,2011-10-03T10:27:15.069000
49,O_CREATED,11202,2011-10-03T10:27:16.065000
49,O_SENT,11202,2011-10-03T10:27:16.102000
49,O_SENT_BACK,11029,2011-10-06T07:54:35.254000
49,O_ACCEPTED,10609,2011-10-11T14:43:10.297000
50,O_SELECTED,10809,2011-10-03T10:18:43.014000
50,O_CREATED,10809,2011-10-03T10:19:31.116000
50,O_SENT,10809,2011-10-03T10:19:31.134000
50,O_SENT_BACK,10809,2011-10-03T10:24:38.493000
50,O_ACCEPTED,10809,2011-10-18T08:10:34.706000
51,O_SELECTED,11201,2011-10-03T12:28:02.885000
51,O_CREATED,11201,2011-10-03T12:28:04.840000
51,O_SENT,11201,2011-10-03T12:28:04.892000
51,O_CANCELLED,11202,2011-10-03T12:48:36.823000
51,O_SELECTED,11202,2011-10-03T12:48:36.823000
51,O_CREATED,11202,2011-10-03T12:48:37.827000
51,O_SENT,11202,2011-10-03T12:48:37.876000
51,O_CANCELLED,11202,2011-10-03T12:52:32.242000
51,O_SELECTED,11202,2011-10-03T12:52:32.243000
51,O_CREATED,11202,2011-10-03T12:52:33.137000
51,O_SENT,11202,2011-10-03T12:52:33.166000
51,O_SELECTED,11202,2011-10-27T18:09:04.635000
51,O_CANCELLED,11202,2011-10-27T18:09:04.635000
51,O_CREATED,11202,2011-10-27T18:09:06.228000
51,O_SENT,11202,2011-10-27T18:09:06.276000
51,O_CANCELLED,11202,2011-10-27T18:13:10.499000
51,O_SELECTED,11202,2011-10-27T18:13:10.499000
51,O_CREATED,11202,2011-10-27T18:13:11.983000
51,O_SENT,11202,2011-10-27T18:13:12.023000
51,O_SELECTED,10913,2011-11-19T11:29:09.593000
51,O_CANCELLED,10913,2011-11-19T11:29:09.593000
51,O_CREATED,10913,2011-11-19T11:29:11.492000
51,O_SENT,10913,2011-11-19T11:29:11.535000
51,O_SENT_BACK,10899,2011-11-30T13:12:04.159000
51,O_ACCEPTED,10609,2011-12-13T08:44:17.641000
53,O_SELECTED,11180,2011-10-03T14:10:35.932000
53,O_CREATED,11180,2011-10-03T14:10:36.593000
53,O_SENT,11180,2011-10-03T14:10:36.634000
53,O_SENT_BACK,11029,2011-10-13T07:16:41.318000
53,O_ACCEPTED,10972,2011-10-17T18:11:18.063000
54,O_SELECTED,10809,2011-10-03T12:31:15.008000
54,O_CREATED,10809,2011-10-03T12:31:17.345000
54,O_SENT,10809,2011-10-03T12:31:17.493000
54,O_SENT_BACK,10809,2011-10-03T12:34:06.868000
54,O_ACCEPTED,10809,2011-10-04T08:17:26.248000
55,O_SELECTED,10863,2011-10-03T11:53:29.422000
55,O_CREATED,10863,2011-10-03T11:53:31.266000
55,O_SENT,10863,2011-10-03T11:53:31.305000
55,O_SENT_BACK,11029,2011-10-11T07:58:53.764000
55,O_ACCEPTED,10138,2011-10-11T09:49:13.306000
57,O_SELECTED,11120,2011-10-03T14:23:12.513000
57,O_CREATED,11120,2011-10-03T14:23:14.022000
57,O_SENT,11120,2011-10-03T14:23:14.062000
57,O_CANCELLED,10982,2011-10-04T10:28:48.414000
57,O_SELECTED,10982,2011-10-04T10:28:48.414000
57,O_CREATED,10982,2011-10-04T10:28:49.386000
57,O_SENT,10982,2011-10-04T10:28:49.415000
57,O_SENT_BACK,11049,2011-10-11T09:03:12.962000
57,O_SELECTED,11009,2011-10-17T15:02:07.138000
57,O_CANCELLED,11009,2011-10-17T15:02:07.138000
57,O_CREATED,11009,2011-10-17T15:02:08.606000
57,O_SENT,11009,2011-10-17T15:02:08.643000
57,O_SENT_BACK,11049,2011-10-21T07:53:53.753000
57,O_ACCEPTED,10809,2011-10-21T08:36:28.396000
59,O_SELECTED,10629,2011-10-03T12:38:13.754000
59,O_CREATED,10629,2011-10-03T12:38:14.802000
59,O_SENT,10629,2011-10-03T12:38:14.839000
59,O_SENT_BACK,10629,2011-10-03T12:39:18.623000
59,O_ACCEPTED,10629,2011-10-03T12:46:47.624000
60,O_SELECTED,10880,2011-10-03T16:28:13.862000
60,O_CREATED,10880,2011-10-03T16:29:02.549000
60,O_SENT,10880,2011-10-03T16:29:02.576000
60,O_SENT_BACK,11049,2011-10-11T09:12:13.063000
60,O_CANCELLED,10609,2011-10-13T13:53:32.299000
60,O_SELECTED,10609,2011-10-13T13:53:32.299000
60,O_CREATED,10609,2011-10-13T13:53:33.947000
60,O_SENT,10609,2011-10-13T13:53:33.999000
60,O_CANCELLED,10939,2011-10-13T18:50:00.100000
60,O_SELECTED,10939,2011-10-13T18:50:00.100000
60,O_CREATED,10939,2011-10-13T18:50:01.297000
60,O_SENT,10939,2011-10-13T18:50:01.333000
60,O_SENT_BACK,11029,2011-10-26T08:07:51.568000
60,O_CANCELLED,10889,2011-10-31T18:20:37.616000
60,O_SELECTED,10889,2011-10-31T18:20:37.616000
60,O_CREATED,10889,2011-10-31T18:20:38.871000
60,O_SENT,10889,2011-10-31T18:20:38.895000
60,O_SENT_BACK,10899,2011-11-07T11:05:03.940000
60,O_ACCEPTED,10609,2011-11-07T13:21:46.610000
61,O_SELECTED,10971,2011-10-03T15:06:35.498000
61,O_CREATED,10971,2011-10-03T15:06:36.861000
61,O_SENT,10971,2011-10-03T15:06:36.927000
61,O_CANCELLED,11169,2011-10-06T08:30:24.207000
61,O_SELECTED,11169,2011-10-06T08:30:24.207000
61,O_CREATED,11169,2011-10-06T08:30:26.081000
61,O_SENT,11169,2011-10-06T08:30:26.118000
61,O_SENT_BACK,11029,2011-10-11T08:22:58.556000
61,O_ACCEPTED,10629,2011-10-14T15:08:25.250000
62,O_SELECTED,11179,2011-10-04T12:05:27.652000
62,O_CREATED,11179,2011-10-04T12:05:57.255000
62,O_SENT,11179,2011-10-04T12:05:57.318000
62,O_SENT_BACK,11029,2011-10-11T08:09:36.373000
62,O_ACCEPTED,10629,2011-10-14T16:40:13.908000
64,O_SELECTED,11180,2011-10-05T08:44:32.407000
64,O_CREATED,11180,2011-10-05T08:44:33.488000
64,O_SENT,11180,2011-10-05T08:44:33.517000
64,O_SELECTED,11180,2011-10-05T08:45:32.437000
64,O_CANCELLED,11180,2011-10-05T08:45:32.437000
64,O_CREATED,11180,2011-10-05T08:45:33.741000
64,O_SENT,11180,2011-10-05T08:45:33.769000
64,O_CANCELLED,11049,2011-11-04T08:06:42.711000
65,O_SELECTED,11119,2011-10-03T17:29:19.550000
65,O_CREATED,11119,2011-10-03T17:29:21.151000
65,O_SENT,11119,2011-10-03T17:29:21.186000
65,O_SENT_BACK,10899,2011-10-10T11:18:06.336000
65,O_CANCELLED,10939,2011-10-13T16:21:09.135000
66,O_SELECTED,11119,2011-10-03T18:27:25.639000
66,O_CREATED,11119,2011-10-03T18:27:26.435000
66,O_SENT,11119,2011-10-03T18:27:26.460000
66,O_CANCELLED,11119,2011-10-03T18:31:54.744000
66,O_SELECTED,11119,2011-10-03T18:31:54.744000
66,O_CREATED,11119,2011-10-03T18:31:55.983000
66,O_SENT,11119,2011-10-03T18:31:56.014000
66,O_CANCELLED,11201,2011-10-14T08:03:43.703000
67,O_SELECTED,10880,2011-10-03T18:21:04.118000
67,O_CREATED,10880,2011-10-03T18:21:05.771000
67,O_SENT,10880,2011-10-03T18:21:05.805000
67,O_SELECTED,11009,2011-10-10T10:33:40.213000
67,O_CANCELLED,11009,2011-10-10T10:33:40.213000
67,O_CREATED,11009,2011-10-10T10:33:41.374000
67,O_SENT,11009,2011-10-10T10:33:41.427000
67,O_SENT_BACK,11029,2011-10-19T07:53:07.263000
67,O_ACCEPTED,10609,2011-10-26T07:46:23.147000
68,O_SELECTED,11179,2011-10-04T14:51:33.506000
68,O_CREATED,11179,2011-10-04T14:51:35.333000
68,O_SENT,11179,2011-10-04T14:51:35.366000
68,O_CANCELLED,11119,2011-10-11T18:43:59.970000
69,O_SELECTED,11200,2011-10-04T07:44:06.238000
69,O_CREATED,11200,2011-10-04T07:44:07.067000
69,O_SENT,11200,2011-10-04T07:44:07.103000
69,O_SENT_BACK,11049,2011-10-31T11:48:09.249000
69,O_DECLINED,11169,2011-11-03T14:01:19.979000
70,O_SELECTED,11200,2011-10-04T08:24:14.562000
70,O_CREATED,11200,2011-10-04T08:24:15.455000
70,O_SENT,11200,2011-10-04T08:24:15.480000
70,O_SENT_BACK,10899,2011-10-12T07:46:45.286000
70,O_ACCEPTED,10629,2011-10-18T14:05:47.077000
71,O_SELECTED,10889,2011-10-04T12:07:20.944000
71,O_CREATED,10889,2011-10-04T12:07:21.931000
71,O_SENT,10889,2011-10-04T12:07:21.985000
71,O_SENT_BACK,10899,2011-10-10T10:00:52.443000
71,O_ACCEPTED,10629,2011-10-13T12:02:18.224000
72,O_SELECTED,10889,2011-10-04T14:07:39.161000
72,O_CREATED,10889,2011-10-04T14:07:40.549000
72,O_SENT,10889,2011-10-04T14:07:40.582000
72,O_SENT_BACK,11029,2011-10-12T07:08:05.964000
72,O_DECLINED,10809,2011-10-18T07:44:40.989000
74,O_SELECTED,10912,2011-10-07T15:43:17.081000
74,O_CREATED,10912,2011-10-07T15:43:18.479000
74,O_SENT,10912,2011-10-07T15:43:18.508000
74,O_CANCELLED,11121,2011-10-25T13:00:48.688000
77,O_SELECTED,10982,2011-10-04T17:30:06.139000
77,O_CREATED,10982,2011-10-04T17:30:07.153000
77,O_SENT,10982,2011-10-04T17:30:07.184000
77,O_CANCELLED,11119,2011-10-19T17:32:42.921000
78,O_SELECTED,10971,2011-10-04T08:57:22.883000
78,O_CREATED,10971,2011-10-04T08:57:23.989000
78,O_SENT,10971,2011-10-04T08:57:24.015000
78,O_SELECTED,10889,2011-10-04T09:51:22.763000
78,O_CANCELLED,10889,2011-10-04T09:51:22.763000
78,O_CREATED,10889,2011-10-04T09:51:24.022000
78,O_SENT,10889,2011-10-04T09:51:24.051000
78,O_CANCELLED,112,2011-11-04T08:15:11.497000
79,O_SELECTED,11202,2011-10-05T16:27:27.551000
79,O_CREATED,11202,2011-10-05T16:27:28.778000
79,O_SENT,11202,2011-10-05T16:27:28.810000
79,O_SENT_BACK,11029,2011-10-11T07:54:32.955000
79,O_ACCEPTED,10809,2011-10-14T07:42:29.383000
80,O_SELECTED,10859,2011-10-04T10:55:31.935000
80,O_CREATED,10859,2011-10-04T10:55:33.246000
80,O_SENT,10859,2011-10-04T10:55:33.304000
80,O_CANCELLED,112,2011-11-04T08:15:15.229000
81,O_SELECTED,11121,2011-10-04T15:52:10.163000
81,O_CREATED,11121,2011-10-04T15:52:11.644000
81,O_SENT,11121,2011-10-04T15:52:11.670000
81,O_SENT_BACK,10899,2011-10-10T12:37:42.203000
81,O_ACCEPTED,10809,2011-10-11T08:13:32.915000
82,O_SELECTED,10971,2011-10-04T07:40:04.413000
82,O_CREATED,10971,2011-10-04T07:40:05.942000
82,O_SENT,10971,2011-10-04T07:40:05.994000
82,O_SENT_BACK,10899,2011-10-10T12:25:34.601000
82,O_ACCEPTED,10138,2011-10-10T13:03:08.039000
83,O_SELECTED,10982,2011-10-04T08:15:09.158000
83,O_CREATED,10982,2011-10-04T08:15:11.349000
