caseid,task,user,end_timestamp
1,Assign seriousness,Value 2,2010-02-10T06:50:20.000000
1,Take in charge ticket,Value 2,2010-03-19T06:47:06.000000
1,Resolve ticket,Value 2,2010-03-19T06:47:13.000000
1,Closed,Value 5,2010-04-03T04:47:38.000000
2,Assign seriousness,Value 1,2013-04-12T07:25:17.000000
2,Take in charge ticket,Value 9,2013-04-24T07:24:01.000000
2,Require upgrade,Value 9,2013-04-24T12:51:11.000000
2,Resolve ticket,Value 2,2013-05-15T10:21:00.000000
2,Closed,Value 3,2013-05-30T10:21:20.000000
3,Assign seriousness,Value 2,2010-01-21T06:53:28.000000
3,Assign seriousness,Value 2,2010-01-21T06:53:34.000000
3,Take in charge ticket,Value 2,2010-01-21T06:53:40.000000
3,Resolve ticket,Value 2,2010-01-26T12:06:53.000000
3,Closed,Value 5,2010-03-06T07:00:57.000000
4,Assign seriousness,Value 4,2013-03-08T15:01:24.000000
4,Take in charge ticket,Value 4,2013-03-25T06:08:33.000000
4,Resolve ticket,Value 4,2013-03-28T08:31:21.000000
4,Closed,Value 3,2013-04-12T06:31:36.000000
5,Assign seriousness,Value 19,2010-08-25T07:36:10.000000
5,Take in charge ticket,Value 2,2010-08-27T04:34:45.000000
5,Resolve ticket,Value 2,2010-08-27T05:42:25.000000
5,Closed,Value 5,2010-09-25T07:40:32.000000
8,Assign seriousness,Value 8,2010-12-22T06:35:14.000000
8,Take in charge ticket,Value 2,2010-12-22T06:49:10.000000
8,Resolve ticket,Value 2,2011-01-13T12:26:36.000000
8,Closed,Value 5,2011-02-18T06:40:43.000000
9,Assign seriousness,Value 2,2010-01-22T09:09:40.000000
9,Take in charge ticket,Value 2,2010-01-22T09:09:51.000000
9,Resolve ticket,Value 2,2010-01-22T09:09:59.000000
9,Closed,Value 5,2010-03-11T09:10:33.000000
10,Assign seriousness,Value 1,2012-10-10T07:47:41.000000
10,Take in charge ticket,Value 9,2012-10-25T07:23:49.000000
10,Resolve ticket,Value 12,2012-11-12T06:37:18.000000
10,Closed,Value 3,2012-11-27T06:37:28.000000
11,Assign seriousness,Value 4,2011-10-25T11:35:19.000000
11,Take in charge ticket,Value 16,2011-10-26T04:19:46.000000
11,Resolve ticket,Value 16,2011-11-03T07:37:15.000000
11,Closed,Value 5,2011-12-08T13:40:25.000000
12,Assign seriousness,Value 1,2012-05-18T09:11:25.000000
12,Take in charge ticket,Value 9,2012-05-18T11:23:17.000000
12,Wait,Value 9,2012-05-18T12:07:29.000000
12,Resolve ticket,Value 9,2012-05-22T04:53:06.000000
12,Closed,Value 5,2012-06-28T11:10:31.000000
13,Insert ticket,Value 15,2010-06-18T10:47:15.000000
13,Assign seriousness,Value 15,2010-06-18T11:18:15.000000
13,Take in charge ticket,Value 2,2010-06-29T04:35:47.000000
13,Resolve ticket,Value 2,2010-06-29T05:33:07.000000
13,Closed,Value 5,2010-08-05T10:50:24.000000
14,Assign seriousness,Value 14,2013-06-21T04:11:34.000000
14,Take in charge ticket,Value 2,2013-06-24T07:06:24.000000
14,Require upgrade,Value 1,2013-06-28T07:12:09.000000
14,Resolve ticket,Value 1,2013-07-17T12:38:54.000000
14,Closed,Value 3,2013-08-01T12:39:11.000000
15,Insert ticket,Value 15,2011-09-06T12:37:27.000000
15,Assign seriousness,Value 15,2011-09-06T12:44:32.000000
15,Take in charge ticket,Value 15,2011-09-06T12:44:54.000000
15,Resolve ticket,Value 15,2011-09-06T12:55:58.000000
15,Closed,Value 5,2011-10-22T12:40:25.000000
16,Assign seriousness,Value 2,2010-05-25T12:14:28.000000
16,Take in charge ticket,Value 2,2010-05-28T12:38:09.000000
16,Resolve ticket,Value 2,2010-05-28T12:38:45.000000
16,Closed,Value 5,2010-06-26T12:20:26.000000
17,Assign seriousness,Value 1,2011-11-30T14:32:54.000000
17,Resolve ticket,Value 9,2011-12-12T14:50:49.000000
17,Closed,Value 5,2012-01-13T14:40:37.000000
18,Assign seriousness,Value 8,2010-12-28T08:41:06.000000
