CaseID,ActivityID,CompleteTimestamp
0,4,2011-10-01 09:45:09
0,2,2011-10-01 09:45:11
0,5,2011-10-01 09:45:11
0,6,2011-10-10 09:33:03
0,0,2011-10-13 08:37:29
1,4,2011-10-01 12:35:46
1,2,2011-10-01 12:35:47
1,5,2011-10-01 12:35:47
1,4,2011-10-03 14:56:17
1,1,2011-10-03 14:56:17
1,2,2011-10-03 14:56:19
1,5,2011-10-03 14:56:19
1,6,2011-10-10 08:14:43
1,0,2011-10-10 12:17:26
2,4,2011-10-03 11:40:14
2,2,2011-10-03 11:40:15
2,5,2011-10-03 11:40:15
2,4,2011-10-03 11:44:17
2,1,2011-10-03 11:44:17
2,2,2011-10-03 11:44:19
2,5,2011-10-03 11:44:19
2,4,2011-10-17 17:43:53
2,1,2011-10-17 17:43:53
2,2,2011-10-17 17:43:55
2,5,2011-10-17 17:43:55
2,6,2011-11-02 08:15:16
2,0,2011-11-04 15:04:52
3,4,2011-10-01 10:30:20
3,2,2011-10-01 10:30:21
3,5,2011-10-01 10:30:21
3,6,2011-10-10 10:54:03
3,3,2011-10-13 09:05:24
4,4,2011-10-01 08:44:40
4,2,2011-10-01 08:44:42
4,5,2011-10-01 08:44:42
4,4,2011-10-01 08:46:52
4,1,2011-10-01 08:46:52
4,2,2011-10-01 08:46:54
4,5,2011-10-01 08:46:54
4,6,2011-10-10 08:55:04
4,0,2011-10-27 07:17:53
5,4,2011-10-01 09:20:47
5,2,2011-10-01 09:20:49
5,5,2011-10-01 09:20:49
5,6,2011-10-06 07:49:46
5,3,2011-10-10 14:28:25
6,4,2011-10-01 13:40:08
6,2,2011-10-01 13:40:09
6,5,2011-10-01 13:40:10
6,6,2011-10-14 08:21:08
6,0,2011-10-21 07:08:14
8,4,2011-10-01 13:56:39
8,2,2011-10-01 13:56:40
8,5,2011-10-01 13:56:40
8,6,2011-10-11 08:19:12
8,0,2011-10-14 14:22:47
9,4,2011-10-01 13:58:41
9,2,2011-10-01 13:58:44
9,5,2011-10-01 13:58:44
9,1,2011-10-08 10:45:57
10,4,2011-10-01 14:36:44
10,2,2011-10-01 14:37:32
10,5,2011-10-01 14:37:32
10,1,2011-10-01 14:42:16
10,4,2011-10-01 14:42:16
10,2,2011-10-01 14:42:17
10,5,2011-10-01 14:42:17
10,3,2011-10-03 14:44:19
11,4,2011-10-01 14:49:59
11,2,2011-10-01 14:50:00
11,5,2011-10-01 14:50:01
11,6,2011-10-07 10:40:18
11,0,2011-10-11 08:39:30
12,4,2011-10-01 14:01:43
12,2,2011-10-01 14:01:44
12,5,2011-10-01 14:01:44
12,6,2011-10-11 09:01:37
12,0,2011-10-14 13:41:03
13,4,2011-10-04 15:37:27
13,2,2011-10-04 15:37:28
13,5,2011-10-04 15:37:28
13,6,2011-10-17 09:29:14
13,0,2011-11-15 11:50:28
14,4,2011-10-03 07:31:07
14,2,2011-10-03 07:31:08
14,5,2011-10-03 07:31:08
14,1,2011-10-03 07:36:43
14,4,2011-10-03 07:36:43
14,2,2011-10-03 07:36:44
14,5,2011-10-03 07:36:44
14,1,2011-10-19 16:51:53
15,4,2011-10-03 07:26:10
15,2,2011-10-03 07:26:11
15,5,2011-10-03 07:26:11
15,6,2011-10-07 10:37:07
15,0,2011-10-10 12:22:35
16,4,2011-10-03 12:53:19
16,2,2011-10-03 12:53:20
16,5,2011-10-03 12:53:20
16,6,2011-10-14 08:08:48
16,0,2011-10-18 09:25:03
17,4,2011-10-03 09:15:53
17,2,2011-10-03 09:16:42
17,5,2011-10-03 09:16:42
17,1,2011-10-10 15:23:53
19,4,2011-10-03 09:47:47
19,2,2011-10-03 09:47:48
