CaseID,ActivityID,CompleteTimestamp
0,7,2011-09-30 22:39:38
0,8,2011-10-01 09:36:46
0,13,2011-10-01 09:45:11
0,6,2011-10-01 09:45:13
0,14,2011-10-01 10:15:41
0,12,2011-10-01 10:17:08
0,14,2011-10-08 14:26:57
0,12,2011-10-08 14:32:00
0,14,2011-10-10 09:32:22
0,16,2011-10-10 09:33:04
0,12,2011-10-10 09:33:05
0,17,2011-10-13 08:05:26
0,15,2011-10-13 08:37:37
1,7,2011-10-01 06:09:59
1,8,2011-10-01 09:37:32
1,6,2011-10-01 09:43:13
1,8,2011-10-01 12:27:57
1,13,2011-10-01 12:35:47
1,6,2011-10-01 12:35:48
1,14,2011-10-01 12:36:13
1,12,2011-10-01 12:36:25
1,14,2011-10-03 14:54:43
1,13,2011-10-03 14:56:19
1,12,2011-10-03 14:56:21
1,14,2011-10-03 14:56:34
1,12,2011-10-03 14:57:16
1,14,2011-10-10 08:13:44
1,16,2011-10-10 08:14:44
1,12,2011-10-10 08:14:45
1,17,2011-10-10 09:12:36
1,15,2011-10-10 09:30:54
1,17,2011-10-10 12:11:42
1,15,2011-10-10 12:14:13
1,17,2011-10-10 12:14:52
1,15,2011-10-10 12:17:34
3,7,2011-10-01 07:46:18
3,8,2011-10-01 09:37:46
3,6,2011-10-01 09:40:24
3,8,2011-10-01 10:40:26
3,6,2011-10-01 11:02:12
4,1,2011-10-01 07:46:18
4,2,2011-10-01 08:15:43
4,7,2011-10-01 08:16:48
4,0,2011-10-01 08:16:49
4,8,2011-10-01 09:49:28
4,6,2011-10-01 09:50:14
4,8,2011-10-01 09:50:21
4,6,2011-10-01 09:53:55
4,8,2011-10-01 12:50:26
4,6,2011-10-01 13:00:02
5,7,2011-10-01 07:58:27
5,8,2011-10-01 08:26:42
5,6,2011-10-01 08:27:07
5,8,2011-10-01 09:40:40
5,6,2011-10-01 09:43:02
5,8,2011-10-10 15:42:24
5,6,2011-10-10 15:43:13
5,6,2011-11-01 08:15:08
6,1,2011-10-01 07:58:44
6,2,2011-10-01 08:08:36
6,7,2011-10-01 08:10:24
6,0,2011-10-01 08:10:25
6,8,2011-10-01 10:59:13
6,6,2011-10-01 11:03:35
6,8,2011-10-03 09:16:05
6,6,2011-10-03 09:17:29
6,8,2011-10-03 12:39:34
6,6,2011-10-03 12:42:55
7,7,2011-10-01 07:59:43
7,8,2011-10-01 09:44:00
7,6,2011-10-01 09:46:06
7,8,2011-10-01 10:18:51
7,13,2011-10-01 10:30:21
7,6,2011-10-01 10:30:24
7,14,2011-10-08 14:35:18
7,12,2011-10-08 14:38:17
7,14,2011-10-10 10:53:54
7,16,2011-10-10 10:54:03
7,12,2011-10-10 10:54:04
7,17,2011-10-13 09:00:48
7,15,2011-10-13 09:05:28
8,7,2011-10-01 08:38:21
8,8,2011-10-01 08:38:48
8,13,2011-10-01 08:44:42
8,6,2011-10-01 08:44:43
8,14,2011-10-01 08:44:54
8,12,2011-10-01 08:44:58
8,14,2011-10-01 08:45:27
8,13,2011-10-01 08:46:54
8,12,2011-10-01 08:46:56
8,14,2011-10-01 08:47:14
8,12,2011-10-01 08:50:20
8,14,2011-10-01 08:50:29
8,12,2011-10-01 08:50:34
8,14,2011-10-08 14:29:16
8,12,2011-10-08 14:31:37
8,14,2011-10-10 08:54:21
8,16,2011-10-10 08:55:05
8,12,2011-10-10 08:55:07
8,17,2011-10-13 10:09:25
