caseid,task,user,end_timestamp
1,Accepted-In Progress,Tomas-Org line A2,2006-11-07T09:00:36.000000
1,Accepted-In Progress,Tomas-Org line A2,2006-11-07T12:05:44.000000
1,Accepted-Wait,Tomas-Org line A2,2009-12-02T13:24:32.000000
1,Accepted-In Progress,Tomas-Org line A2,2011-09-03T05:09:09.000000
1,Accepted-In Progress,Carrie-Org line A2,2012-01-20T09:23:24.000000
1,Completed-Closed,Carrie-Org line A2,2012-01-20T09:23:27.000000
3,Accepted-In Progress,Tomas-Org line A2,2007-05-10T14:21:54.000000
3,Accepted-Wait,Tomas-Org line A2,2009-12-02T13:24:33.000000
3,Accepted-In Progress,Tomas-Org line A2,2011-09-03T05:10:59.000000
3,Accepted-In Progress,Carrie-Org line A2,2012-01-18T07:20:53.000000
3,Completed-Closed,Carrie-Org line A2,2012-01-18T07:21:10.000000
4,Accepted-In Progress,Niklas-Org line A2,2007-07-25T12:21:05.000000
4,Accepted-Wait,Niklas-Org line A2,2009-12-02T13:24:32.000000
4,Queued-Awaiting Assignment,Niklas-Org line A2,2010-08-25T09:13:01.000000
4,Accepted-In Progress,Niklas-Org line A2,2011-09-05T07:24:13.000000
4,Accepted-Assigned,Niklas-Org line A2,2011-11-14T15:10:25.000000
4,Accepted-In Progress,Niklas-Org line A2,2012-01-03T10:30:35.000000
4,Completed-Closed,Niklas-Org line A2,2012-01-03T10:31:53.000000
5,Accepted-In Progress,Tomas-Org line A2,2008-05-07T16:58:51.000000
5,Accepted-In Progress,Tomas-Org line A2,2008-10-06T14:44:37.000000
5,Accepted-Wait,Tomas-Org line A2,2009-12-02T13:24:34.000000
5,Accepted-In Progress,Tomas-Org line A2,2011-09-01T22:27:50.000000
5,Accepted-In Progress,Tomas-Org line A2,2011-09-01T22:27:55.000000
5,Accepted-In Progress,Carrie-Org line A2,2012-01-20T06:53:32.000000
5,Completed-Closed,Carrie-Org line A2,2012-01-20T06:53:35.000000
8,Accepted-In Progress,Tomas-Org line A2,2008-11-13T10:01:04.000000
8,Accepted-Wait,Tomas-Org line A2,2009-12-02T13:24:35.000000
8,Accepted-In Progress,Tomas-Org line A2,2011-11-14T14:57:27.000000
8,Accepted-In Progress,Carrie-Org line A2,2012-01-18T09:17:14.000000
8,Completed-Closed,Carrie-Org line A2,2012-01-18T09:19:21.000000
10,Accepted-In Progress,Per-Org line C,2009-08-11T06:44:51.000000
10,Queued-Awaiting Assignment,Per-Org line C,2009-08-11T06:55:12.000000
10,Accepted-Assigned,Per-Org line C,2009-08-11T10:01:25.000000
10,Queued-Awaiting Assignment,Per-Org line C,2010-05-18T10:35:53.000000
10,Accepted-In Progress,Tony-Org line C,2010-06-16T10:00:32.000000
10,Accepted-Wait,Tony-Org line C,2011-10-01T20:40:28.000000
10,Queued-Awaiting Assignment,Tony-Org line C,2011-12-07T11:41:00.000000
10,Accepted-In Progress,Reza-Org line C,2012-02-15T11:01:20.000000
10,Completed-Closed,Reza-Org line C,2012-02-19T20:57:21.000000
11,Accepted-In Progress,Richard-Org line C,2009-09-07T12:33:24.000000
11,Unmatched-Unmatched,Richard-Org line C,2009-09-14T09:37:50.000000
11,Completed-Closed,Richard-Org line C,2012-04-30T10:21:43.000000
12,Queued-Awaiting Assignment,Adam-Org line A2,2009-09-16T20:42:12.000000
12,Accepted-In Progress,Adam-Org line A2,2009-09-28T09:26:19.000000
12,Accepted-Wait,Adam-Org line A2,2009-09-28T09:26:30.000000
12,Queued-Awaiting Assignment,Adam-Org line A2,2010-04-08T10:09:22.000000
12,Queued-Awaiting Assignment,Adam-Org line A2,2010-04-08T10:11:51.000000
12,Accepted-In Progress,Adam-Org line A2,2010-04-12T08:05:58.000000
12,Accepted-Wait,Adam-Org line A2,2010-04-12T08:10:24.000000
12,Accepted-In Progress,Adam-Org line A2,2011-10-18T14:09:14.000000
12,Accepted-Wait,Adam-Org line A2,2012-05-24T08:02:19.000000
12,Completed-Closed,Adam-Org line A2,2012-05-24T09:03:31.000000
13,Accepted-In Progress,Stefan-Org line C,2009-09-18T10:50:02.000000
13,Unmatched-Unmatched,Stefan-Org line C,2009-11-17T13:07:38.000000
13,Completed-Closed,Stefan-Org line C,2012-03-13T10:53:35.000000
14,Accepted-In Progress,Kerstin-Org line V2,2009-09-21T12:13:43.000000
14,Completed-Closed,Kerstin-Org line V2,2012-02-07T12:22:11.000000
15,Accepted-In Progress,Reine-Org line C,2009-09-22T12:22:05.000000
15,Accepted-Assigned,Reine-Org line C,2009-09-22T12:25:17.000000
15,Completed-Closed,Reine-Org line C,2012-05-24T08:57:49.000000
16,Accepted-In Progress,Rajashekar-Org line A2,2009-09-23T09:52:27.000000
16,Accepted-Assigned,Rajashekar-Org line A2,2010-01-04T08:00:17.000000
16,Accepted-In Progress,Rajashekar-Org line A2,2010-03-17T15:36:20.000000
16,Accepted-Assigned,Rajashekar-Org line A2,2010-11-09T11:35:55.000000
16,Accepted-In Progress,Rajashekar-Org line A2,2010-11-09T13:20:48.000000
16,Accepted-In Progress,Kalpesh-Org line A2,2012-03-30T06:00:47.000000
16,Accepted-Assigned,Tise-Org line A2,2012-03-30T06:05:44.000000
16,Accepted-In Progress,TulasiPrasad-Org line A2,2012-04-19T08:01:14.000000
16,Completed-Closed,TulasiPrasad-Org line A2,2012-04-19T08:01:38.000000
17,Accepted-In Progress,Carrie-Org line A2,2009-10-14T16:12:54.000000
17,Accepted-Wait,Carrie-Org line A2,2009-12-02T13:24:37.000000
17,Accepted-In Progress,Carrie-Org line A2,2011-09-01T22:22:08.000000
17,Accepted-In Progress,Carrie-Org line A2,2012-02-01T08:46:54.000000
17,Completed-Closed,Carrie-Org line A2,2012-02-01T08:46:57.000000
18,Accepted-Wait,Henrik-Org line A2,2009-10-26T13:47:10.000000
18,Unmatched-Unmatched,Henrik-Org line A2,2009-10-27T08:57:26.000000
18,Queued-Awaiting Assignment,Henrik-Org line A2,2010-03-02T12:44:22.000000
18,Accepted-In Progress,Katarzyna-Org line A2,2010-03-02T12:46:10.000000
18,Accepted-Wait,Katarzyna-Org line A2,2010-03-02T12:46:18.000000
18,Accepted-Assigned,Damian-Org line A2,2011-04-11T07:10:20.000000
18,Accepted-Assigned,Katarzyna-Org line A2,2011-04-11T07:11:48.000000
18,Accepted-Wait,Katarzyna-Org line A2,2011-11-28T07:21:27.000000
18,Accepted-In Progress,Katarzyna-Org line A2,2012-03-30T08:53:50.000000
18,Completed-Closed,Katarzyna-Org line A2,2012-03-30T08:53:53.000000
