CaseID,ActivityID,CompleteTimestamp
0,1,2010-03-31 14:59:42
0,1,2010-03-31 15:00:56
0,11,2010-03-31 15:45:48
0,1,2010-04-06 14:44:07
0,11,2010-04-06 14:44:38
0,1,2010-04-06 14:44:47
0,10,2010-04-06 14:44:51
0,11,2010-04-06 14:45:07
0,1,2010-04-08 10:52:23
0,11,2010-04-08 10:53:35
0,1,2010-04-20 09:07:11
0,0,2010-04-20 09:07:19
0,1,2012-04-11 15:11:17
0,0,2012-04-11 15:11:25
0,1,2012-05-03 09:10:10
0,10,2012-05-03 09:10:12
0,8,2012-05-10 23:26:15
1,1,2011-01-31 10:12:22
1,1,2011-01-31 10:18:44
1,11,2011-01-31 10:19:05
1,1,2011-01-31 11:59:46
1,5,2011-01-31 13:37:55
1,11,2011-02-03 07:28:58
1,1,2011-02-07 11:37:33
1,4,2011-02-07 11:38:25
1,1,2011-03-09 10:08:06
1,4,2011-03-09 10:27:05
1,1,2011-03-10 10:53:10
1,0,2011-03-10 10:53:22
1,1,2011-03-10 11:17:22
1,5,2011-03-10 11:21:51
1,2,2011-03-10 13:45:27
1,0,2011-03-14 06:56:20
1,1,2011-03-14 06:58:01
1,2,2011-03-14 06:58:55
1,1,2011-04-05 15:59:52
1,11,2011-04-05 16:02:01
1,1,2011-04-06 08:32:07
1,0,2011-04-06 09:47:50
1,1,2011-04-06 09:48:33
1,5,2011-04-06 10:08:47
1,1,2011-04-07 11:36:47
1,2,2011-04-07 12:06:06
1,1,2011-04-08 12:10:59
1,2,2011-04-08 12:17:44
1,11,2011-04-08 12:20:00
1,1,2011-04-12 13:16:47
1,1,2011-08-08 13:28:38
1,0,2011-09-12 09:22:38
1,1,2011-11-21 12:52:19
1,4,2011-11-21 12:52:57
1,11,2012-01-25 14:50:41
1,1,2012-01-25 14:53:07
1,11,2012-01-25 14:54:00
1,1,2012-05-15 15:56:51
1,10,2012-05-15 15:57:39
1,8,2012-05-22 23:22:25
2,1,2011-02-24 15:17:46
2,1,2011-02-24 15:17:52
2,11,2011-02-24 15:19:35
2,1,2011-02-28 12:46:38
2,11,2011-02-28 12:47:22
2,1,2011-02-28 12:48:12
2,11,2011-02-28 12:53:24
2,1,2011-05-04 16:07:37
2,11,2012-02-17 13:49:34
2,1,2012-03-21 15:21:44
2,1,2012-03-26 09:55:35
2,11,2012-03-26 09:57:04
2,1,2012-04-03 13:29:44
2,2,2012-04-03 13:29:49
2,1,2012-05-04 06:58:20
2,10,2012-05-04 06:59:39
2,8,2012-05-11 23:21:31
6,1,2011-04-13 14:04:32
6,1,2011-04-13 14:05:38
6,11,2011-04-13 14:12:39
6,1,2011-04-19 12:23:12
6,11,2011-04-19 12:27:05
6,1,2011-04-19 12:57:53
6,5,2011-04-19 13:01:16
6,1,2011-04-22 09:29:18
6,5,2011-04-22 09:30:27
6,1,2011-04-27 16:38:48
6,11,2011-04-27 16:42:38
6,1,2011-04-28 09:06:05
6,11,2011-04-28 09:07:04
6,1,2011-04-28 10:02:04
6,11,2011-04-28 10:08:04
6,1,2011-05-11 13:31:55
6,11,2011-07-27 12:28:46
6,1,2011-08-16 15:42:06
6,1,2012-05-04 07:01:57
6,10,2012-05-04 07:02:52
6,8,2012-05-11 23:21:30
7,1,2011-05-03 07:42:21
7,1,2011-05-03 07:42:31
7,11,2011-05-03 07:46:47
7,1,2011-05-03 08:44:47
7,11,2011-05-03 08:45:41
7,1,2011-05-03 10:05:52
7,0,2011-05-03 10:05:57
7,1,2011-05-03 11:20:46
7,11,2011-05-03 11:24:45
7,1,2011-05-11 13:39:42
7,4,2012-04-04 13:56:22
7,1,2012-05-04 07:03:26
7,10,2012-05-04 07:06:01
7,8,2012-05-11 23:21:29
8,1,2011-05-05 13:47:54
8,1,2011-05-05 13:48:38
8,6,2011-05-05 14:01:23
8,1,2011-05-05 17:21:53
8,5,2011-08-09 18:34:05
8,1,2012-03-07 14:26:40
8,10,2012-05-03 12:49:21
8,8,2012-05-03 23:21:11
10,1,2011-05-26 16:01:53
10,1,2011-05-26 16:02:23
10,11,2011-05-26 16:10:38
10,1,2011-05-30 10:46:17
