prediction,truth,similarity
"[10, 8]","[10, 15, 8, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.16666666666666663
[8],"[15, 8, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.09090909090909094
"[8, 16, 14]","[8, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.30000000000000004
"[16, 14]","[16, 14, 16, 14, 16, 18, 14, 19, 17]",0.2222222222222222
"[14, 16, 18, 14, 19, 17]","[14, 16, 14, 16, 18, 14, 19, 17]",0.75
"[16, 18, 14, 19, 17]","[16, 14, 16, 18, 14, 19, 17]",0.7142857142857143
[14],"[14, 16, 18, 14, 19, 17]",0.16666666666666663
[],"[16, 18, 14, 19, 17]",0.0
"[18, 14, 19, 17]","[18, 14, 19, 17]",1.0
"[14, 19, 17]","[14, 19, 17]",1.0
"[19, 17]","[19, 17]",1.0
[17],[17],1.0
[],[],1.0
"[4, 2]","[4, 2, 4, 9, 2, 10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.1333333333333333
[2],"[2, 4, 9, 2, 10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.0714285714285714
[],"[4, 9, 2, 10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.0
[2],"[9, 2, 10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.08333333333333337
"[2, 10, 8]","[2, 10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.2727272727272727
"[10, 8]","[10, 8, 10, 8, 10, 8, 10, 8, 10, 8]",0.19999999999999996
[8],"[8, 10, 8, 10, 8, 10, 8, 10, 8]",0.11111111111111116
[],"[10, 8, 10, 8, 10, 8, 10, 8]",0.0
[8],"[8, 10, 8, 10, 8, 10, 8]",0.1428571428571429
[],"[10, 8, 10, 8, 10, 8]",0.0
[8],"[8, 10, 8, 10, 8]",0.19999999999999996
[],"[10, 8, 10, 8]",0.0
[8],"[8, 10, 8]",0.33333333333333337
[],"[10, 8]",0.0
[8],[8],1.0
[],[],1.0
"[4, 2]","[4, 9, 2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.05714285714285716
[2],"[9, 2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.02941176470588236
"[2, 10, 8]","[2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.09090909090909094
"[10, 8]","[10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.0625
[8],"[15, 8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.032258064516129004
"[8, 16, 14]","[8, 16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.09999999999999998
"[16, 14]","[16, 14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.06896551724137934
"[14, 16, 14]","[14, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.1071428571428571
"[16, 18, 14, 19, 17]","[16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 18, 14, 19, 12, 17, 13, 11, 13, 11, 13, 11, 13, 11]",0.18518518518518523
