prediction,truth,similarity
"[41, 40, 51, 50, 59, 58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37]","[41, 40, 51, 50, 59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.21621621621621623
"[40, 51, 50, 59, 58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[40, 51, 50, 59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.2777777777777778
"[51, 50, 59, 58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[51, 50, 59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.2571428571428571
"[50, 59, 58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[50, 59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.23529411764705888
"[59, 58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[59, 58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.21212121212121215
"[58, 2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[58, 2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.1875
"[2, 33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[2, 7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.16129032258064513
"[33, 83, 82, 32, 13, 89, 63, 62, 61, 60, 45, 44, 88, 12, 33, 83, 82, 32, 37, 93, 92, 36]","[7, 55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.1333333333333333
"[55, 54, 77, 76, 53, 52, 6, 13, 89, 63, 62, 88, 67, 57]","[55, 54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.24137931034482762
"[54, 77, 76, 53, 52, 6, 33, 83, 82, 32, 13, 89, 63, 62, 88, 67, 57, 56, 66, 12, 25, 91, 90, 75, 74, 24]","[54, 77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.2142857142857143
"[77, 76, 53, 52, 6, 33, 83, 82, 32, 13, 89, 63, 62, 88, 67, 57, 56, 66, 12, 25, 91, 90, 75, 74, 24]","[77, 76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.18518518518518523
"[76, 53, 52, 6, 33, 83, 82, 32, 13, 89, 63, 62, 88, 67, 57, 56, 66, 12, 25, 91, 90, 75, 74, 24]","[76, 53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.15384615384615385
"[53, 52, 6, 33, 83, 82, 32, 13, 89, 63, 62, 88, 67, 57, 56, 66, 12, 25, 91, 90, 75, 74, 24]","[53, 52, 6, 7, 55, 54, 77, 76, 53, 52, 6, 25, 91, 90, 75, 74, 24, 37, 93, 45, 44, 92, 43, 42, 36]",0.12
