prediction,truth,similarity
"[4, 2]","[4, 9, 2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.09090909090909094
[2],"[9, 2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.04761904761904767
"[2, 10, 8]","[2, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.15000000000000002
"[10, 8]","[10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.10526315789473684
[8],"[15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.05555555555555558
"[8, 16, 14, 16, 14]","[8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.2941176470588235
"[16, 14, 16, 14]","[16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.25
[14],"[14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.06666666666666665
[],"[16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[14, 16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.07692307692307687
[],"[16, 14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[14, 16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.09090909090909094
[],"[16, 15, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[15, 14, 16, 14, 16, 18, 14, 19, 17]",0.11111111111111116
"[14, 16, 14, 16, 18, 14, 19, 17]","[14, 16, 14, 16, 18, 14, 19, 17]",1.0
"[16, 14, 16, 18, 14, 19, 17]","[16, 14, 16, 18, 14, 19, 17]",1.0
"[14, 16, 14]","[14, 16, 18, 14, 19, 17]",0.5
"[16, 14, 16, 18, 14, 19, 17]","[16, 18, 14, 19, 17]",0.7142857142857143
"[18, 14, 19, 17]","[18, 14, 19, 17]",1.0
"[14, 19, 17]","[14, 19, 17]",1.0
"[19, 17]","[19, 17]",1.0
[17],[17],1.0
[],[],1.0
"[10, 8]","[10, 8, 10, 8, 10, 8, 10, 8]",0.25
[8],"[8, 10, 8, 10, 8, 10, 8]",0.1428571428571429
[],"[10, 8, 10, 8, 10, 8]",0.0
[8],"[8, 10, 8, 10, 8]",0.19999999999999996
[],"[10, 8, 10, 8]",0.0
[8],"[8, 10, 8]",0.33333333333333337
[],"[10, 8]",0.0
[8],[8],1.0
[],[],1.0
"[4, 2]","[4, 9, 2, 10, 8, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.05882352941176472
[2],"[9, 2, 10, 8, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.030303030303030276
"[2, 10, 8]","[2, 10, 8, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.09375
"[10, 8]","[10, 8, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.06451612903225812
[8],"[8, 10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.033333333333333326
[],"[10, 15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[8],"[15, 8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.0357142857142857
"[8, 16, 14, 16, 14]","[8, 16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.18518518518518523
"[16, 14, 16, 14]","[16, 14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.15384615384615385
[14],"[14, 16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.040000000000000036
[],"[16, 14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[14, 16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.04347826086956519
[],"[16, 14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[14, 16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.04761904761904767
[],"[16, 15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.0
[14],"[15, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.052631578947368474
"[14, 16, 14, 16, 14]","[14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.2777777777777778
"[16, 14, 16, 14]","[16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 14, 16, 18, 14, 19, 17]",0.23529411764705888
