prediction,truth,similarity
"[3, 5, 6, 7, 16]","[3, 4, 3]",0.19999999999999996
"[5, 7, 16, 6]","[4, 3]",0.0
"[3, 5, 7, 16, 6]",[3],0.19999999999999996
"[5, 6, 7, 16]",[],0.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
[],[],1.0
"[3, 7, 16, 5, 6]","[3, 5, 6, 7, 16]",0.19999999999999996
"[7, 16, 5, 6]","[5, 6, 7, 16]",0.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 4, 3, 5, 6]","[16, 3, 5, 6]",0.6666666666666667
"[3, 4, 3, 5, 6]","[3, 5, 6]",0.6
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 16, 5, 6]",0.19999999999999996
"[5, 6, 7, 16]","[7, 16, 5, 6]",0.0
"[16, 5, 6]","[16, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 7, 16, 5, 6]","[3, 4, 3, 5, 6, 7, 16]",0.4285714285714286
"[7, 16, 5, 6]","[4, 3, 5, 6, 7, 16]",0.33333333333333337
"[3, 4, 3, 4, 3, 4, 7, 3, 5, 6, 16]","[3, 5, 6, 7, 16]",0.2727272727272727
"[4, 3, 4, 3, 4, 7, 3, 5, 6, 16]","[5, 6, 7, 16]",0.19999999999999996
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 7, 7, 16, 4, 3, 5, 6]",0.33333333333333337
"[5, 7, 16, 6]","[7, 7, 7, 16, 4, 3, 5, 6]",0.375
"[16, 5, 6]","[7, 7, 16, 4, 3, 5, 6]",0.4285714285714286
"[16, 5, 6]","[7, 16, 4, 3, 5, 6]",0.5
"[8, 7, 16, 5, 6]","[16, 4, 3, 5, 6]",0.4
"[5, 6]","[4, 3, 5, 6]",0.5
[3],"[3, 5, 6]",0.33333333333333337
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
[],"[3, 5, 6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[5, 6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
"[7, 16]","[7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0714285714285714
[16],"[13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[21],"[1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[1, 15, 9, 8, 11, 7, 7, 7]",0.0
[],"[15, 9, 8, 11, 7, 7, 7]",0.0
[],"[9, 8, 11, 7, 7, 7]",0.0
[],"[8, 11, 7, 7, 7]",0.0
"[7, 8, 7, 8, 7, 8, 7, 16]","[11, 7, 7, 7]",0.375
"[7, 16]","[7, 7, 7]",0.33333333333333337
[16],"[7, 7]",0.0
[16],[7],0.0
[16],[],0.0
"[3, 7, 16, 5, 6]","[3, 5, 6, 7, 16]",0.19999999999999996
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[7, 3, 5, 6, 16]","[3, 5, 7, 16, 6]",0.4
"[5, 6, 7, 16]","[5, 7, 16, 6]",0.5
"[6, 7, 16]","[7, 16, 6]",0.33333333333333337
"[16, 6]","[16, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 7, 16, 5, 6]","[3, 5, 6, 7, 16]",0.19999999999999996
"[7, 16, 5, 6]","[5, 6, 7, 16]",0.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 7, 16, 6]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 3, 5, 6, 16]",0.6
"[3, 5, 6, 16]","[3, 5, 6, 16]",1.0
"[5, 6, 16]","[5, 6, 16]",1.0
"[6, 16]","[6, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7]",0.4
[],[7],0.0
[],[],1.0
"[3, 5, 7, 16, 6]","[3, 7, 5, 4, 3, 16, 5, 6]",0.5
"[5, 6, 7, 16]","[7, 5, 4, 3, 16, 5, 6]",0.2857142857142857
"[16, 5, 6]","[5, 4, 3, 16, 5, 6]",0.5
