prediction,truth,similarity
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[10, 3]","[12, 10, 3]",0.6666666666666667
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 12, 14, 12, 10, 3]",0.4285714285714286
"[10, 3]","[10, 12, 14, 12, 10, 3]",0.33333333333333337
[3],"[12, 14, 12, 10, 3]",0.19999999999999996
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[12, 14, 10, 3]",0.75
"[10, 3]","[14, 10, 3]",0.6666666666666667
"[12, 10, 3]","[10, 3]",0.6666666666666667
[3],[3],1.0
[],[],1.0
"[12, 10, 3]","[2, 12, 14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 14, 12, 10, 3]",0.6
"[10, 3]","[14, 12, 10, 3]",0.5
"[12, 10, 3]","[12, 10, 3]",1.0
"[10, 3]","[10, 3]",1.0
[3],[3],1.0
[],[],1.0
